Morning,Afternoon,Evening,Night,CaseRatio,WordRatio,VerbRatio,NounRatio,PuncRatio,AdjectiveRatio,AdverbRatio,AbrvRatio,NumeralRatio,DeterminerRatio,PostPositiveRatio,DuplicatorRatio,ConjunctionRatio,InterjectionRatio,PronounRatio,QuestionRatio,IncorrectRatio,NegativeRatio,PluralRatio,PresentTimeRatio,FutureTimeRatio,PastTimeRatio,NarrTimeRatio,ProgTimeRatio,CondRatio,ImpRatio,NecessRatio,AbilRatio,NegAbilRatio,QuestionPuncRatio,ExclamationRatio,EllipsisRatio,CommaRatio,FullStopRatio,EnglishRatio,SmilingRatio,AffectedRatio,TongueRatio,NeutralRatio,UnwellRatio,NegRatio,RomanticRatio,FingersRatio,ActivityRatio,SportRatio,PlantRatio
0.517,0.663,0.483,0.337,92.078,12.015,1.446,5.301,1.300,1.063,0.589,0.000,0.202,0.423,0.206,0.003,0.382,0.079,0.327,0.096,1.099,0.249,1.025,0.230,0.079,0.329,0.124,0.253,0.061,0.205,0.010,0.038,0.051,0.074,0.072,0.075,0.000,0.272,0.004,0.180,0.039,0.030,0.046,0.084,0.013,0.015,0.051,0.004,0.001,0.004
0.417,0.802,0.583,0.198,92.219,12.635,1.462,4.779,2.108,0.867,0.653,0.000,0.150,0.569,0.201,0.007,0.462,0.133,0.486,0.076,1.692,0.198,0.648,0.222,0.090,0.365,0.113,0.318,0.035,0.178,0.013,0.039,0.053,0.136,0.181,0.067,0.000,0.491,0.057,0.009,0.015,0.000,0.022,0.020,0.004,0.020,0.006,0.002,0.000,0.001
0.594,0.687,0.406,0.313,93.002,8.810,1.317,3.701,0.776,0.724,0.487,0.000,0.151,0.349,0.206,0.004,0.292,0.067,0.420,0.081,0.903,0.249,0.506,0.232,0.062,0.311,0.090,0.286,0.059,0.150,0.007,0.026,0.035,0.062,0.010,0.014,0.000,0.346,0.022,0.004,0.001,0.000,0.004,0.004,0.000,0.001,0.003,0.000,0.000,0.000
0.632,0.643,0.368,0.357,82.489,12.620,1.239,5.808,1.773,0.969,0.446,0.000,0.347,0.371,0.193,0.004,0.330,0.068,0.317,0.058,1.351,0.196,0.906,0.175,0.087,0.296,0.106,0.232,0.046,0.193,0.012,0.026,0.036,0.046,0.066,0.046,0.000,0.364,0.024,0.008,0.004,0.000,0.000,0.002,0.000,0.013,0.005,0.000,0.001,0.003
0.544,0.687,0.456,0.313,88.917,10.484,1.217,4.657,1.385,0.791,0.459,0.000,0.282,0.357,0.172,0.003,0.299,0.071,0.275,0.091,1.298,0.192,0.674,0.184,0.057,0.324,0.102,0.244,0.043,0.153,0.007,0.029,0.034,0.112,0.019,0.015,0.000,0.531,0.040,0.003,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000
0.551,0.777,0.449,0.223,90.635,9.055,1.332,3.935,0.568,0.805,0.521,0.000,0.233,0.449,0.130,0.007,0.342,0.086,0.404,0.068,0.627,0.209,0.767,0.192,0.058,0.390,0.075,0.274,0.021,0.182,0.000,0.031,0.038,0.062,0.027,0.017,0.000,0.164,0.007,0.045,0.017,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.003
0.493,0.833,0.507,0.167,91.463,8.653,1.190,3.718,0.889,0.720,0.520,0.000,0.115,0.350,0.166,0.004,0.338,0.047,0.382,0.063,0.616,0.205,0.622,0.227,0.063,0.208,0.084,0.247,0.053,0.178,0.008,0.035,0.030,0.024,0.021,0.047,0.000,0.165,0.022,0.006,0.002,0.000,0.000,0.002,0.000,0.002,0.001,0.000,0.000,0.000
0.566,0.727,0.434,0.273,93.357,11.475,1.317,4.913,1.574,0.913,0.579,0.000,0.223,0.470,0.223,0.005,0.378,0.124,0.309,0.078,0.925,0.239,0.890,0.182,0.099,0.349,0.116,0.267,0.051,0.139,0.011,0.022,0.050,0.100,0.084,0.079,0.000,0.481,0.010,0.001,0.001,0.000,0.001,0.002,0.000,0.001,0.000,0.000,0.000,0.000
0.468,0.748,0.532,0.252,92.072,11.596,1.408,4.772,0.924,1.096,0.756,0.000,0.188,0.480,0.276,0.000,0.404,0.080,0.460,0.112,1.128,0.244,0.832,0.188,0.080,0.284,0.108,0.400,0.032,0.152,0.004,0.032,0.060,0.084,0.048,0.056,0.000,0.240,0.040,0.056,0.008,0.004,0.032,0.048,0.004,0.016,0.012,0.000,0.000,0.004
0.561,0.671,0.439,0.329,89.872,10.304,1.286,4.398,1.339,0.790,0.499,0.000,0.150,0.347,0.189,0.007,0.366,0.088,0.414,0.076,0.804,0.204,0.937,0.229,0.076,0.235,0.100,0.241,0.038,0.211,0.005,0.042,0.038,0.055,0.092,0.033,0.000,0.352,0.006,0.012,0.002,0.000,0.001,0.003,0.000,0.023,0.003,0.000,0.000,0.001
